,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
11714,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting / Dividend- Rs 12 Per Share,1.0,21-Jun-2018,-,23-Jun-2018,29-Jun-2018
12529,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 9 Per Share (Date And Purpose Revised),1.0,25-Oct-2018,26-Oct-2018,-,-
12878,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting/ Dividend - Rs 13 Per Share,1.0,20-Jun-2019,-,22-Jun-2019,29-Jun-2019
13689,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 11 Per Sh,1.0,23-Oct-2019,24-Oct-2019,-,-
14228,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting/Dividend - Rs 14 Per Share,1.0,19-Jun-2020,-,23-Jun-2020,30-Jun-2020
14311,HINDUNILVR,Hindustan Unilever Limited,EQ, Special Dividend - Rs 9.50 Per Share,1.0,30-Jul-2020,31-Jul-2020,-,-
14676,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 14 Per Share,1.0,28-Oct-2020,29-Oct-2020,-,-
15065,HINDUNILVR,Hindustan Unilever Limited,EQ, Annual General Meeting/Dividend - Rs 17  Per Sh,1.0,14-Jun-2021,-,16-Jun-2021,22-Jun-2021
15873,HINDUNILVR,Hindustan Unilever Limited,EQ, Interim Dividend - Rs 15 Per Share,1.0,26-Oct-2021,27-Oct-2021,-,-
16349,HINDUNILVR,Hindustan Unilever Limited,EQ,Annual General Meeting/Dividend - Rs  19 Per Share,1.0,15-Jun-2022,-,17-Jun-2022,23-Jun-2022
17282,HINDUNILVR,Hindustan Unilever Limited,EQ,Interim Dividend - Rs 17 Per Share,1.0,01-Nov-2022,02-Nov-2022,-,-
17746,HINDUNILVR,Hindustan Unilever Limited,EQ,Annual General Meeting/Dividend - Rs 22 Per Share,1.0,19-Jun-2023,-,20-Jun-2023,26-Jun-2023
18726,HINDUNILVR,Hindustan Unilever Limited,EQ,Interim Dividend - Rs 18 Per Share,1.0,02-Nov-2023,02-Nov-2023,-,-
19198,HINDUNILVR,Hindustan Unilever Limited,EQ,Annual General Meeting/Dividend - Rs 24 Per Share,1.0,14-Jun-2024,-,15-Jun-2024,21-Jun-2024
308,ICICIBANK,ICICI Bank Limited,EQ,Agm/Dividend-85%,2.0,04-Aug-2005,-,06-Aug-2005,20-Aug-2005
1229,ICICIBANK,ICICI Bank Limited,EQ,Agm/Dividend -100%,2.0,14-Jun-2007,-,16-Jun-2007,14-Jul-2007
1963,ICICIBANK,ICICI Bank Limited,EQ,Agm/Dividend - 110%,2.0,10-Jul-2008,-,12-Jul-2008,26-Jul-2008
2898,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting And Dividend Rs.12/- Per Share,2.0,10-Jun-2010,-,12-Jun-2010,28-Jun-2010
3972,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting And Dividend Rs.14/- Per Share,2.0,02-Jun-2011,-,04-Jun-2011,27-Jun-2011
5114,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting And Dividend Rs.16.50 Per Share,2.0,31-May-2012,-,02-Jun-2012,25-Jun-2012
6200,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting/Dividend Rs.20/- Per Share,2.0,30-May-2013,-,01-Jun-2013,24-Jun-2013
7339,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting/Dividend Rs.23/- Per Share,2.0,05-Jun-2014,-,07-Jun-2014,30-Jun-2014
8404,ICICIBANK,ICICI Bank Limited,EQ,Annual General Meeting/ Dividend - Rs 5/- Per Share,2.0,04-Jun-2015,-,06-Jun-2015,29-Jun-2015
9670,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/ Dividend - Rs 5/- Per Share ,2.0,16-Jun-2016,-,18-Jun-2016,11-Jul-2016
10606,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),2.0,20-Jun-2017,-,22-Jun-2017,24-Jun-2017
12174,ICICIBANK,ICICI Bank Limited,EQ, Dividend- Rs 1.50 Per Share (Date Revised),2.0,24-Aug-2018,-,28-Aug-2018,12-Sep-2018
13043,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/Dividend - Re 1 Per Share,2.0,22-Jul-2019,-,24-Jul-2019,09-Aug-2019
15277,ICICIBANK,ICICI Bank Limited,EQ, Dividend - Rs 2 Per Share,2.0,29-Jul-2021,30-Jul-2021,-,-
16714,ICICIBANK,ICICI Bank Limited,EQ,Dividend - Rs 5 Per Share,2.0,08-Aug-2022,10-Aug-2022,-,-
18144,ICICIBANK,ICICI Bank Limited,EQ,Dividend - Rs 8 Per Share,2.0,09-Aug-2023,09-Aug-2023,-,-
19671,ICICIBANK,ICICI Bank Limited,EQ,Dividend - Rs 10 Per Share,2.0,12-Aug-2024,12-Aug-2024,-,-
352,INDUSINDBK,IndusInd Bank Limited,EQ,Agm/Dividend-18%,10.0,18-Aug-2005,-,20-Aug-2005,03-Sep-2005
1485,INDUSINDBK,IndusInd Bank Limited,EQ,Agm/Dividend-6%          Purpose Revised,10.0,31-Aug-2007,-,04-Sep-2007,18-Sep-2007
2262,INDUSINDBK,IndusInd Bank Limited,EQ,Agm/Dividend - 6%        Bc Dates Revised,10.0,04-Sep-2008,-,08-Sep-2008,22-Sep-2008
2919,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting And Dividend Rs.1.80 Per Share,10.0,17-Jun-2010,-,19-Jun-2010,28-Jun-2010
4069,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,10.0,30-Jun-2011,-,05-Jul-2011,15-Jul-2011
5221,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting/Dividend Rs 2.20 Per Share,10.0,05-Jul-2012,-,07-Jul-2012,17-Jul-2012
6246,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting / Dividend Rs.3/- Per Equity Share,10.0,17-Jun-2013,-,19-Jun-2013,28-Jun-2013
7360,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting / Dividend - Rs 3.50/- Per Share,10.0,16-Jun-2014,-,18-Jun-2014,27-Jun-2014
8754,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting And Dividend Rs.4/- Per Share,10.0,07-Aug-2015,-,11-Aug-2015,17-Aug-2015
9683,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting/ Dividend -Rs 4.50/- Per Share,10.0,23-Jun-2016,-,25-Jun-2016,01-Jul-2016
10729,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting/Dividend - Rs 6/- Per Share,10.0,18-Jul-2017,-,20-Jul-2017,26-Jul-2017
11832,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting / Dividend- Rs 7.50 Per Share (Date Revised),10.0,18-Jul-2018,-,20-Jul-2018,26-Jul-2018
13253,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting/Dividend - Rs 7.50 Per Share,10.0,08-Aug-2019,-,10-Aug-2019,16-Aug-2019
15418,INDUSINDBK,IndusInd Bank Limited,EQ, Dividend - Rs 5 Per Share,10.0,17-Aug-2021,19-Aug-2021,-,-
16733,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting/Dividend - Rs 8.50 Per Share,10.0,11-Aug-2022,12-Aug-2022,-,-
17694,INDUSINDBK,IndusInd Bank Limited,EQ,Dividend - Rs 14 Per Share,10.0,02-Jun-2023,02-Jun-2023,-,-
19260,INDUSINDBK,IndusInd Bank Limited,EQ,Dividend - Rs 16.50 Per Share,10.0,28-Jun-2024,28-Jun-2024,-,-
125,INFY,Infosys Limited,EQ,Agm/ Dividend-130%,5.0,01-Jun-2005,-,03-Jun-2005,11-Jun-2005
2528,INFY,Infosys Limited,EQ,Interim Dividend - 200%  Purpose Revised,5.0,16-Oct-2008,17-Oct-2008,-,-
2679,INFY,Infosys Limited,EQ,Agm/Dividend - 270%,5.0,04-Jun-2009,-,06-Jun-2009,20-Jun-2009
3691,INFY,Infosys Limited,EQ,Interim Dividend Rs.10/- Per Share And Special Dividend Rs.30/- Per Share (Purpose Revised),5.0,21-Oct-2010,22-Oct-2010,-,-
3960,INFY,Infosys Limited,EQ,Annual General Meeting And Final Dividend Rs.20/- Per Share,5.0,26-May-2011,-,28-May-2011,11-Jun-2011
4846,INFY,Infosys Limited,EQ,Interim Dividend - Rs.15 Per Share (Purpose Revised),5.0,20-Oct-2011,21-Oct-2011,-,-
5105,INFY,Infosys Limited,EQ,Annual General Meeting / Dividend - Final Rs 22 + Special Rs 10,5.0,24-May-2012,-,26-May-2012,09-Jun-2012
5914,INFY,Infosys Limited,EQ,Interim Dividend Rs.15/- Per Share (Purpose Revised),5.0,18-Oct-2012,19-Oct-2012,-,-
6204,INFY,Infosys Limited,EQ,Annual General Meeting/Final Dividend Rs.27 Per Share,5.0,30-May-2013,-,01-Jun-2013,15-Jun-2013
7017,INFY,Infosys Limited,EQ,Interim Dividend Rs.20/- Per Share (Purpose Revised),5.0,17-Oct-2013,18-Oct-2013,-,-
7329,INFY,Infosys Limited,EQ,Annual General Meeting / Final Dividend - Rs 43/- Per Share,5.0,29-May-2014,-,31-May-2014,14-Jun-2014
8155,INFY,Infosys Limited,EQ,Interim Dividend Rs.30/- Per Share (Purpose Revised),5.0,16-Oct-2014,17-Oct-2014,-,-
8421,INFY,Infosys Limited,EQ,Annual General Meeting/ Dividend - Rs 29.50/- Per Share And Bonus 1:1,5.0,15-Jun-2015,-,17-Jun-2015,17-Jun-2015
9172,INFY,Infosys Limited,EQ, Interim Dividend Rs.10/- Per Share (Purpose Revised),5.0,16-Oct-2015,19-Oct-2015,-,-
9664,INFY,Infosys Limited,EQ, Annual General Meeting And Final Dividend Rs.14.25 Per Share,5.0,09-Jun-2016,-,11-Jun-2016,11-Jun-2016
10275,INFY,Infosys Limited,EQ, Interim Dividend Rs 11/- Per Share (Purpose Revised),5.0,21-Oct-2016,24-Oct-2016,-,-
10575,INFY,Infosys Limited,EQ, Annual General Meeting/Dividend - Rs 14.75 Per Share,5.0,01-Jun-2017,-,03-Jun-2017,03-Jun-2017
11390,INFY,Infosys Limited,EQ, Interim Dividend - Rs 13/- Per Share (Purpose Revised),5.0,31-Oct-2017,01-Nov-2017,-,-
11699,INFY,Infosys Limited,EQ, Annual General Meeting/ Final Dividend Rs 20.50 Per Shar/ Special Dividend - Rs 10 Per Share,5.0,14-Jun-2018,-,16-Jun-2018,16-Jun-2018
12530,INFY,Infosys Limited,EQ, Interim Dividend - Rs 7 Per Share,5.0,25-Oct-2018,27-Oct-2018,-,-
12637,INFY,Infosys Limited,EQ, Special Dividend - Rs 4 Per Share,5.0,24-Jan-2019,25-Jan-2019,-,-
12859,INFY,Infosys Limited,EQ, Annual General Meeting/Dividend- Rs 10.50 Per Share,5.0,13-Jun-2019,-,15-Jun-2019,15-Jun-2019
13690,INFY,Infosys Limited,EQ, Interim Dividend - Rs 8 Per Share,5.0,23-Oct-2019,24-Oct-2019,-,-
14212,INFY,Infosys Limited,EQ, Dividend - Rs 9.50 Per Share,5.0,29-May-2020,01-Jun-2020,-,-
14668,INFY,Infosys Limited,EQ, Interim Dividend - Rs 12 Per Share,5.0,23-Oct-2020,26-Oct-2020,-,-
15046,INFY,Infosys Limited,EQ, Annual General Meeting/Dividend - Rs 15 Per Share,5.0,31-May-2021,01-Jun-2021,-,-
15870,INFY,Infosys Limited,EQ, Interim Dividend - Rs 15 Per Sh,5.0,26-Oct-2021,27-Oct-2021,-,-
16308,INFY,Infosys Limited,EQ,Annual General Meeting/Dividend - Rs 16 Per Share,5.0,31-May-2022,01-Jun-2022,-,-
17266,INFY,Infosys Limited,EQ,Interim Dividend - Rs 16.50 Per Share,5.0,27-Oct-2022,28-Oct-2022,-,-
17692,INFY,Infosys Limited,EQ,Annual General Meeting/Dividend - Rs 17.50 Per Share,5.0,02-Jun-2023,02-Jun-2023,-,-
18706,INFY,Infosys Limited,EQ,Interim Dividend - Rs 18 Per Share,5.0,25-Oct-2023,25-Oct-2023,-,-
19164,INFY,Infosys Limited,EQ,Annual General Meeting/Special Dividend - Rs 8 Per Share /Dividend - Rs 20 Per Share,5.0,31-May-2024,31-May-2024,-,-
2893,ITC,ITC Limited,EQ,Final Dividend Rs.4.50 Per Share And Special Centenary Dividend Rs.5.50 Per Share,1.0,09-Jun-2010,-,11-Jun-2010,18-Jun-2010
3987,ITC,ITC Limited,EQ,Dividend Final Rs 2.80 And Special Rs 1.65 Per Share,1.0,10-Jun-2011,-,14-Jun-2011,21-Jun-2011
5135,ITC,ITC Limited,EQ,Annual General Meeting/Dividend Rs 4.50 Per Share,1.0,11-Jun-2012,-,13-Jun-2012,18-Jun-2012
6207,ITC,ITC Limited,EQ,Annual General Meeting And Dividend Rs.5.25 Per Share,1.0,31-May-2013,-,04-Jun-2013,07-Jun-2013
7332,ITC,ITC Limited,EQ,Dividend - Rs 6/- Per Share,1.0,03-Jun-2014,-,05-Jun-2014,09-Jun-2014
8400,ITC,ITC Limited,EQ,Dividend - Rs 6.25/- Per Share,1.0,03-Jun-2015,-,05-Jun-2015,09-Jun-2015
9650,ITC,ITC Limited,EQ, Dividend-Rs.8.50 Per Share (Including Special Dividend Of Rs.2/- Per Share).,1.0,30-May-2016,-,01-Jun-2016,03-Jun-2016
10582,ITC,ITC Limited,EQ, Dividend-Rs 4.75 Per Share,1.0,05-Jun-2017,-,07-Jun-2017,09-Jun-2017
11676,ITC,ITC Limited,EQ, Dividend- Rs 5.15 Per Share,1.0,25-May-2018,-,29-May-2018,31-May-2018
12825,ITC,ITC Limited,EQ, Dividend - Rs 5.75 Per Share,1.0,22-May-2019,-,24-May-2019,27-May-2019
14246,ITC,ITC Limited,EQ, Dividend - Rs 10.15 Per Share,1.0,06-Jul-2020,-,08-Jul-2020,09-Jul-2020
14939,ITC,ITC Limited,EQ, Interim Dividend - Rs 5 Per Share,1.0,22-Feb-2021,23-Feb-2021,-,-
15057,ITC,ITC Limited,EQ, Dividend - Rs 5.75 Per Share,1.0,10-Jun-2021,11-Jun-2021,-,-
16129,ITC,ITC Limited,EQ,Interim Dividend - Rs 5.25 Per Share,1.0,14-Feb-2022,15-Feb-2022,-,-
16299,ITC,ITC Limited,EQ,Dividend - Rs 6.25 Per Share,1.0,26-May-2022,28-May-2022,-,-
17500,ITC,ITC Limited,EQ,Interim Dividend - Rs  6 Per Share,1.0,15-Feb-2023,15-Feb-2023,-,-
17681,ITC,ITC Limited,EQ,Dividend - Rs 6.75 Per Share /Special Dividend - Rs 2.75 Per Share,1.0,30-May-2023,30-May-2023,-,-
18924,ITC,ITC Limited,EQ,Interim Dividend - Rs 6.25 Per Share,1.0,08-Feb-2024,08-Feb-2024,-,-
19171,ITC,ITC Limited,EQ,Dividend - Rs 7.50 Per Share,1.0,04-Jun-2024,04-Jun-2024,-,-
105,JSWSTEEL,JSW Steel Limited,EQ,Agm/ Dividend-50%,1.0,29-Apr-2005,-,03-May-2005,06-May-2005
585,JSWSTEEL,JSW Steel Limited,EQ,Agm/Dividend-80%,1.0,15-Jun-2006,-,17-Jun-2006,24-Jun-2006
1840,JSWSTEEL,JSW Steel Limited,EQ,Agm/Dividend - 140%,1.0,21-May-2008,-,23-May-2008,27-May-2008
2907,JSWSTEEL,JSW Steel Limited,EQ,Agm/Dividend Rs 9.50 Per Share,1.0,14-Jun-2010,-,16-Jun-2010,18-Jun-2010
4116,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting And Dividend Rs.12.25 Per Share,1.0,11-Jul-2011,-,13-Jul-2011,15-Jul-2011
5284,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting / Dividend - Rs. 7.50 Per Share,1.0,12-Jul-2012,-,14-Jul-2012,16-Jul-2012
6376,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting / Dividend - Rs.10/- Per Equity Share,1.0,15-Jul-2013,-,17-Jul-2013,19-Jul-2013
7419,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting / Dividend - Rs 11/- Per Share,1.0,07-Jul-2014,-,09-Jul-2014,11-Jul-2014
8473,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/ Dividend - Rs 11/- Per Share,1.0,06-Jul-2015,-,08-Jul-2015,10-Jul-2015
9698,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/ Dividend - Rs 7.50/- Per Share,1.0,04-Jul-2016,-,06-Jul-2016,08-Jul-2016
10593,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/Dividend - Rs 2.25/- Per Share,1.0,12-Jun-2017,-,14-Jun-2017,16-Jun-2017
11762,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting / Dividend- Rs 3.20 Per Share,1.0,06-Jul-2018,-,10-Jul-2018,12-Jul-2018
12905,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/Dividend Rs 4.10 Per Share,1.0,08-Jul-2019,-,10-Jul-2019,12-Jul-2019
14247,JSWSTEEL,JSW Steel Limited,EQ, Dividend - Rs 2 Per Share,1.0,06-Jul-2020,-,08-Jul-2020,10-Jul-2020
15114,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/Dividend - Rs 6.50 Per Share,1.0,05-Jul-2021,-,07-Jul-2021,09-Jul-2021
16420,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/Dividend - Rs 17.35 Per Share,1.0,04-Jul-2022,-,06-Jul-2022,08-Jul-2022
17841,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/Dividend - Rs 3.40 Per Share,1.0,11-Jul-2023,-,12-Jul-2023,14-Jul-2023
19310,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/Dividend - Rs 7.30 Per Share,1.0,09-Jul-2024,-,10-Jul-2024,12-Jul-2024
252,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Agm/Dividend-12.5%,5.0,15-Jul-2005,-,19-Jul-2005,26-Jul-2005
645,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Agm/Dividend-6%,5.0,07-Jul-2006,-,11-Jul-2006,20-Jul-2006
1244,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Agm/Dividend-7%,5.0,22-Jun-2007,-,26-Jun-2007,05-Jul-2007
1994,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Agm/Dividend - 7.50%,5.0,14-Jul-2008,-,16-Jul-2008,28-Jul-2008
2964,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting And Dividend Re.0.85 Per Share,5.0,30-Jun-2010,-,05-Jul-2010,07-Jul-2010
4123,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting And Dividend Re.0.50 Per Share,5.0,12-Jul-2011,-,14-Jul-2011,21-Jul-2011
5236,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting / Dividend Re 0.60 Per Share,5.0,06-Jul-2012,-,10-Jul-2012,19-Jul-2012
6299,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting/Dividend Re 0.70/- Per Share,5.0,04-Jul-2013,-,08-Jul-2013,18-Jul-2013
7412,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting/Dividend Re 0.80/- Per Share,5.0,04-Jul-2014,-,08-Jul-2014,16-Jul-2014
8432,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting/Dividend Re 0.90/- Per Share,5.0,18-Jun-2015,-,22-Jun-2015,29-Jun-2015
10678,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Annual General Meeting/Dividend-Re 0.60 Per Share,5.0,12-Jul-2017,-,14-Jul-2017,20-Jul-2017
11779,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Annual General Meeting/Dividend- Re 0.70 Per Share,5.0,11-Jul-2018,-,13-Jul-2018,19-Jul-2018
12953,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Annual General Meeting/Dividend Rs 0.80 Per Share,5.0,12-Jul-2019,-,16-Jul-2019,22-Jul-2019
15371,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Dividend - Rs 0.90 Per Share,5.0,11-Aug-2021,12-Aug-2021,-,-
16752,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Dividend - Rs 1.10 Per Share,5.0,11-Aug-2022,12-Aug-2022,-,-
18120,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Dividend - Rs 1.50 Per Sh,5.0,04-Aug-2023,04-Aug-2023,-,-
19416,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Dividend - Rs 2 Per Share,5.0,19-Jul-2024,19-Jul-2024,-,-
777,LT,Larsen & Toubro Limited,EQ,Dividend-Rs.22/- Per Sh,2.0,14-Aug-2006,-,17-Aug-2006,25-Aug-2006
1334,LT,Larsen & Toubro Limited,EQ,Spl Dividend-Rs2/- Per Sh,2.0,17-Jul-2007,18-Jul-2007,-,-
2738,LT,Larsen & Toubro Limited,EQ,Dividend-Rs10.50 Pr Share,2.0,18-Aug-2009,-,21-Aug-2009,28-Aug-2009
3306,LT,Larsen & Toubro Limited,EQ,Annual General Meeting And Dividend Rs.12.50 Per Share,2.0,17-Aug-2010,-,19-Aug-2010,26-Aug-2010
4458,LT,Larsen & Toubro Limited,EQ,Dividend-Rs.14.50 Per Share,2.0,17-Aug-2011,-,19-Aug-2011,26-Aug-2011
5561,LT,Larsen & Toubro Limited,EQ,Annual General Meeting / Dividend Rs 16.50 Per Share,2.0,14-Aug-2012,-,17-Aug-2012,24-Aug-2012
6646,LT,Larsen & Toubro Limited,EQ,Annual General Meeting / Dividend - Rs 12.33/- Per Share,2.0,13-Aug-2013,-,16-Aug-2013,22-Aug-2013
7702,LT,Larsen & Toubro Limited,EQ,Annual General Meeting / Dividend - Rs 14.25/- Per Share,2.0,13-Aug-2014,-,16-Aug-2014,22-Aug-2014
8859,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/ Dividend - Rs 16.25/- Per Share,2.0,01-Sep-2015,-,03-Sep-2015,09-Sep-2015
9965,LT,Larsen & Toubro Limited,EQ, Dividend - Rs 18.25/- Per Share,2.0,18-Aug-2016,-,20-Aug-2016,26-Aug-2016
10975,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs 14/- Per Share,2.0,11-Aug-2017,-,16-Aug-2017,22-Aug-2017
12105,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend- Rs 16 Per Share,2.0,14-Aug-2018,-,17-Aug-2018,23-Aug-2018
13068,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs 18 Per Share,2.0,24-Jul-2019,-,26-Jul-2019,01-Aug-2019
14175,LT,Larsen & Toubro Limited,EQ, Interim Dividend - Rs 10 Per Share,2.0,24-Mar-2020,26-Mar-2020,-,-
14330,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs  8 Per Share,2.0,05-Aug-2020,-,07-Aug-2020,13-Aug-2020
14694,LT,Larsen & Toubro Limited,EQ, Special Dividend - Rs 18 Per Share,2.0,04-Nov-2020,05-Nov-2020,-,-
15256,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs 18 Per Share,2.0,28-Jul-2021,-,30-Jul-2021,05-Aug-2021
16550,LT,Larsen & Toubro Limited,EQ,Dividend - Rs 22 Per Share,2.0,21-Jul-2022,22-Jul-2022,-,-
18050,LT,Larsen & Toubro Limited,EQ,Special Dividend - Rs 6 Per Share,2.0,02-Aug-2023,02-Aug-2023,-,-
18051,LT,Larsen & Toubro Limited,EQ,Dividend - Rs 24 Per Share,2.0,02-Aug-2023,02-Aug-2023,-,-
19229,LT,Larsen & Toubro Limited,EQ,Dividend - Rs 28 Per Share,2.0,20-Jun-2024,20-Jun-2024,-,-
367,MARUTI,Maruti Suzuki India Limited,EQ,Dividend-Rs.2/- Per Share,5.0,25-Aug-2005,-,29-Aug-2005,09-Sep-2005
804,MARUTI,Maruti Suzuki India Limited,EQ,Dividend-Rs.3.50/- Per Sh,5.0,23-Aug-2006,-,25-Aug-2006,05-Sep-2006
2168,MARUTI,Maruti Suzuki India Limited,EQ,Agm/Dividend - 100%,5.0,14-Aug-2008,-,20-Aug-2008,02-Sep-2008
3339,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting And Final Dividend Rs.6/- Per Share,5.0,24-Aug-2010,-,26-Aug-2010,07-Sep-2010
4478,MARUTI,Maruti Suzuki India Limited,EQ,Dividend-Rs.7.50 Per Share,5.0,24-Aug-2011,-,26-Aug-2011,08-Sep-2011
5560,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting/ Dividend Rs.7.50 Per Share,5.0,14-Aug-2012,-,17-Aug-2012,28-Aug-2012
6650,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting / Final Dividend Rs.8/- Per Equity Share,5.0,13-Aug-2013,-,16-Aug-2013,27-Aug-2013
7817,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting / Dividend - Rs 12/- Per Share,5.0,27-Aug-2014,-,01-Sep-2014,04-Sep-2014
8839,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting / Dividend - Rs 25/- Per Share,5.0,26-Aug-2015,-,28-Aug-2015,04-Sep-2015
10017,MARUTI,Maruti Suzuki India Limited,EQ, Final Dividend - Rs 35/- Per Share,5.0,31-Aug-2016,-,02-Sep-2016,08-Sep-2016
11059,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 75/- Per Share,5.0,24-Aug-2017,-,29-Aug-2017,05-Sep-2017
12100,MARUTI,Maruti Suzuki India Limited,EQ, Dividend Rs 80/- Per Share,5.0,14-Aug-2018,-,17-Aug-2018,23-Aug-2018
13288,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 80 Per Share,5.0,14-Aug-2019,-,17-Aug-2019,27-Aug-2019
14363,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 60 Per Share,5.0,13-Aug-2020,-,15-Aug-2020,26-Aug-2020
15326,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 45 Per Share,5.0,05-Aug-2021,-,07-Aug-2021,24-Aug-2021
16672,MARUTI,Maruti Suzuki India Limited,EQ,Dividend - Rs 60 Per Share,5.0,03-Aug-2022,-,05-Aug-2022,31-Aug-2022
18092,MARUTI,Maruti Suzuki India Limited,EQ,Dividend - Rs 90 Per Share,5.0,03-Aug-2023,-,04-Aug-2023,29-Aug-2023
19579,MARUTI,Maruti Suzuki India Limited,EQ,Dividend - Rs 125 Per Share,5.0,02-Aug-2024,-,03-Aug-2024,27-Aug-2024
3725,NESTLEIND,Nestle India Limited,EQ,2nd Interim Dividend - Rs 27/- Per Share (Purpose Revised),1.0,03-Nov-2010,04-Nov-2010,-,-
3920,NESTLEIND,Nestle India Limited,EQ,Final Dividend Rs.12.50/- Per Share And Interim Dividend Rs.9/- Per Share(Purpose Revised),1.0,21-Apr-2011,-,26-Apr-2011,27-Apr-2011
4920,NESTLEIND,Nestle India Limited,EQ,2nd Interim Dividend Rs.27/- Per Share (Purpose Revised),1.0,12-Dec-2011,13-Dec-2011,-,-
5047,NESTLEIND,Nestle India Limited,EQ,Annual General Meeting And Dividend - Rs.12.50/- Per Share,1.0,21-Mar-2012,-,23-Mar-2012,30-Mar-2012
5486,NESTLEIND,Nestle India Limited,EQ,Interim Dividend Rs 18 Per Share (Purpose Revised),1.0,01-Aug-2012,02-Aug-2012,-,-
