,symbol,companyName,industry,isFNOSec,isETFSec,isDelisted,isin,index
2391,AGI,AGI Greenpac Limited,Packaging,False,False,False,INE415A01038,NIFTY TOTAL MARKET
2392,FORCEMOT,FORCE MOTORS LTD,Passenger Cars & Utility Vehicles,False,False,False,INE451A01017,NIFTY TOTAL MARKET
2393,ABB,ABB India Limited,Heavy Electrical Equipment,True,False,False,INE117A01022,NIFTY TOTAL MARKET
2394,DISHTV,Dish TV India Limited,TV Broadcasting & Software Production,False,False,False,INE836F01026,NIFTY TOTAL MARKET
2395,MSTCLTD,Mstc Limited,Trading & Distributors,False,False,False,INE255X01014,NIFTY TOTAL MARKET
2396,JTEKTINDIA,Jtekt India Limited,Auto Components & Equipments,False,False,False,INE643A01035,NIFTY TOTAL MARKET
2397,JUNIPER,Juniper Hotels Limited,Hotels & Resorts,False,False,False,INE696F01016,NIFTY TOTAL MARKET
2398,BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,True,False,False,INE119A01028,NIFTY TOTAL MARKET
2399,SHRIPISTON,Shriram Pistons & Rings Limited,Auto Components & Equipments,False,False,False,INE526E01018,NIFTY TOTAL MARKET
2400,THOMASCOOK,Thomas Cook  (India)  Limited,Tour Travel Related Services,False,False,False,INE332A04013,NIFTY TOTAL MARKET
2401,SANGHVIMOV,Sanghvi Movers Limited,Construction Vehicles,False,False,False,INE989A01032,NIFTY TOTAL MARKET
2402,RELINFRA,Reliance Infrastructure Limited,Integrated Power Utilities,False,False,False,INE036A01016,NIFTY TOTAL MARKET
2403,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Industrial Products,False,False,False,INE093R01011,NIFTY TOTAL MARKET
2404,AMIORG,Ami Organics Limited,Pharmaceuticals,False,False,False,INE00FF01017,NIFTY TOTAL MARKET
2405,GPPL,Gujarat Pipavav Port Limited,Port & Port services,False,False,False,INE517F01014,NIFTY TOTAL MARKET
2406,MCX,Multi Commodity Exchange of India Limited,Exchange and Data Platform,True,False,False,INE745G01035,NIFTY TOTAL MARKET
2407,AZAD,Azad Engineering Limited,Heavy Electrical Equipment,False,False,False,INE02IJ01035,NIFTY TOTAL MARKET
2408,RENUKA,Shree Renuka Sugars Limited,Sugar,False,False,False,INE087H01022,NIFTY TOTAL MARKET
2409,MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services,False,False,False,INE249Z01012,NIFTY TOTAL MARKET
2410,SAMHI,Samhi Hotels Limited,Hotels & Resorts,False,False,False,INE08U801020,NIFTY TOTAL MARKET
2411,MAXHEALTH,Max Healthcare Institute Limited,Hospital,False,False,False,INE027H01010,NIFTY TOTAL MARKET
2412,NUVAMA,Nuvama Wealth Management Limited,Stockbroking & Allied,False,False,False,INE531F01015,NIFTY TOTAL MARKET
2413,JYOTICNC,Jyoti CNC Automation Limited,Industrial Products,False,False,False,INE980O01024,NIFTY TOTAL MARKET
2414,PATELENG,Patel Engineering Limited,Civil Construction,False,False,False,INE244B01030,NIFTY TOTAL MARKET
2415,VTL,Vardhman Textiles Limited,Other Textile Products,False,False,False,INE825A01020,NIFTY TOTAL MARKET
2416,TIDEWATER,Tide Water Oil Company (India) Limited,Lubricants,False,False,False,INE484C01030,NIFTY TOTAL MARKET
2417,HARSHA,Harsha Engineers International Limited,Other Industrial Products,False,False,False,INE0JUS01029,NIFTY TOTAL MARKET
2418,ELECTCAST,Electrosteel Castings Limited,Iron & Steel Products,False,False,False,INE086A01029,NIFTY TOTAL MARKET
2419,SFL,Sheela Foam Limited,Furniture Home Furnishing,False,False,False,INE916U01025,NIFTY TOTAL MARKET
2420,SUZLON,Suzlon Energy Limited,Heavy Electrical Equipment,False,False,False,INE040H01021,NIFTY TOTAL MARKET
2421,JINDWORLD,Jindal Worldwide Limited,Other Textile Products,False,False,False,INE247D01039,NIFTY TOTAL MARKET
2422,JKIL,J.Kumar Infraprojects Limited,Civil Construction,False,False,False,INE576I01022,NIFTY TOTAL MARKET
2423,ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals,False,False,False,INE150B01039,NIFTY TOTAL MARKET
2424,FACT,Fertilizers and Chemicals Travancore Limited,Fertilizers,False,False,False,INE188A01015,NIFTY TOTAL MARKET
2425,FCL,Fineotex Chemical Limited,Specialty Chemicals,False,False,False,INE045J01026,NIFTY TOTAL MARKET
