"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"TIMETECHNO","Time Technoplast Limited","EQ","Fv Split Rs.10/- To Re.1/Record Date Revised","1","29-Oct-2008","06-Nov-2008","-","-"
"RATNAMANI","Ratnamani Metals & Tubes Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","06-Nov-2008","14-Nov-2008","-","-"
"JINDRILL","Jindal Drilling And Industries Limited","EQ","Fv Split-Rs10/- To Rs5/-","5","06-Nov-2008","14-Nov-2008","-","-"
"NECLIFE","Nectar Lifesciences Limited","EQ","Fv Split Rs.10/- To Re.1/","1","12-Nov-2008","20-Nov-2008","-","-"
"JYOTHYLAB","Jyothy Labs Limited","EQ","Fv Split Rs.5/- To Re.1/-","1","12-Dec-2008","19-Dec-2008","-","-"
"TEXINFRA","Texmaco Infrastructure & Holdings Limited","EQ","Fv Split Rs.10/- To Re.1/","1","01-Jan-2009","09-Jan-2009","-","-"
"REIAGROLTD","Rei Agro Limited","EQ","Fv Split Rs.10/- To Re.1/","1","05-Feb-2009","12-Feb-2009","-","-"
"CORALHUB","Coral Hub Limited","EQ","Fv Split Rs.10/- To Re.1/","1","27-Feb-2009","06-Mar-2009","-","-"
"AMJLAND","Amj Land Holdings Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","23-Mar-2009","31-Mar-2009","-","-"
"BIRLAPOWER","Birla Power Solutions Limited","EQ","Fv Split Rs.10/- To Rs.1/","1","24-Apr-2009","05-May-2009","-","-"
"AUSTRAL","Austral Coke & Projects Limited","EQ","Fv Split Rs.10/- To Re.1/","1","07-Aug-2009","10-Aug-2009","-","-"
"SHREEASHTA","Shree Ashtavinayak Cine Vision Limited","EQ","Fv Split Rs.10/- To Rs.1/","1","20-Aug-2009","21-Aug-2009","-","-"
"IVC","IL&FS Investment Managers Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","16-Sep-2009","17-Sep-2009","-","-"
"MVL","MVL Limited","EQ","Fv Split Rs.10/- To Rs.2/","1","18-Sep-2009","22-Sep-2009","-","-"
"GMRINFRA","GMR Airports Infrastructure Limited","EQ","Fv Split Rs.2/- To Re.1/-","1","01-Oct-2009","05-Oct-2009","-","-"
"GOKUL","Gokul Refoils and Solvent Limited","EQ","Fv Split Rs.10/- To Rs.2/Rd Revised","2","14-Oct-2009","15-Oct-2009","-","-"
"FCSSOFT","FCS Software Solutions Limited","EQ","Fv Split Rs.10/- To Re.1/","1","15-Oct-2009","16-Oct-2009","-","-"
"BIRLACOT","Birla Cotsyn (India) Limited","EQ","Fv Split Rs.10/- To Re.1/","1","23-Oct-2009","26-Oct-2009","-","-"
"AJRINFRA","AJR INFRA AND TOLLING LIMITED","EQ","Fv Split Rs.10/- To Rs.2/","2","26-Oct-2009","27-Oct-2009","-","-"
"REISIXTEN","REI Six Ten Retail Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","26-Oct-2009","27-Oct-2009","-","-"
"EDUCOMP","Educomp Solutions Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","27-Oct-2009","28-Oct-2009","-","-"
"MADHUCON","Madhucon Projects Limited","EQ","Fv Split Rs.2/- To Re.1/","1","05-Nov-2009","07-Nov-2009","-","-"
"ADSL","Allied Digital Services Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","11-Nov-2009","12-Nov-2009","-","-"
"HINDNATGLS","Hindusthan National Glass & Industries Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","12-Nov-2009","13-Nov-2009","-","-"
